content,chunk_index,collection,content_type,filename,sequence_number,source,source_file,title,total_chunks
"Thanks for the feedback on this.One thing we could do is lower the outbound connections from 15 to 10 or maybe even 5. Â The choice of 15 was arbitrary. Â It just needs to be enough for redundancy and fast exponential propagation of messages. Â 10 would still be plenty. Â 5 should be fine. Â 10 is good as a nice round number so users can see that it stopped intentionally.It would help to implement UPnP so there would be more inbound accepting nodes. Â Your number of connections is the ratio of inbound accepting nodes to out-only times 15. Â We need to encourage more people to accept inbound connections.I will implement a feature to stop accepting inbound connections once you hit a certain number.Which version are you running?Anyone know how many connections typical P2P software like BitTorrent can get up to?
Re: Feature Request: Limiting Connections
July 2, 2010 at 19:21:36 UTC
BitcoinTalk",0,posts,post,post_164_Re__Feature_Request__Limiting_Connections,164,nakamotoinstitute_files\posts\post_164_Re__Feature_Request__Limiting_Connections.html,nakamotoinstitute_files\posts\post_164_Re__Feature_Request__Limiting_Connections.html,Re  Feature Request  Limiting Connections,1
"Quote from: dkaparis on June 27, 2010, 10:02:25 PMOn a related note, is the thing compilable by Visual C++? I'm inclined to give it a try when I get around to it.It is, but generating is more than twice as slow.
Re: 1.3 almost ready
July 2, 2010 at 20:37:17 UTC
BitcoinTalk",0,posts,post,post_165_Re__1.3_almost_ready,165,nakamotoinstitute_files\posts\post_165_Re__1.3_almost_ready.html,nakamotoinstitute_files\posts\post_165_Re__1.3_almost_ready.html,Re  1.3 almost ready,1
"(reverted to rc2)Links removed, 0.3 is now released, so go tohttp://www.bitcoin.orgto download it.
Re: 0.3 almost ready
July 2, 2010 at 21:57:45 UTC
BitcoinTalk",0,posts,post,post_166_Re__0.3_almost_ready,166,nakamotoinstitute_files\posts\post_166_Re__0.3_almost_ready.html,nakamotoinstitute_files\posts\post_166_Re__0.3_almost_ready.html,Re  0.3 almost ready,1
"OK, back to 0.3 then.Please download RC4 and check it over as soon as possible. Â I'd like to release it soon.http://bitcointalk.org/index.php?topic=199.msg1927#msg1927Other than the version number change, which included changes in readme.txt and setup.nsi, I reduced the maximum number of outbound connections from 15 to 8 so nodes that accept inbound don't get too many connections. Â 15 was a lot more than needed. Â 8 is still plenty for redundancy.
Re: Beta?
July 2, 2010 at 22:03:41 UTC
BitcoinTalk",0,posts,post,post_167_Re__Beta_,167,nakamotoinstitute_files\posts\post_167_Re__Beta_.html,nakamotoinstitute_files\posts\post_167_Re__Beta_.html,Re  Beta ,1
"I reduced max outbound connections from 15 to 8 in RC4.15 was way more than we needed for redundancy. Â 8 is still plenty of redundancy.As the nodes upgrade to this version, this will cut in half the number of connections that inbound accepting nodes get.If anyone wants more than 8 connections, they can open port 8333 on their firewall.
Re: Feature Request: Limiting Connections
July 2, 2010 at 22:20:20 UTC
BitcoinTalk",0,posts,post,post_168_Re__Feature_Request__Limiting_Connections,168,nakamotoinstitute_files\posts\post_168_Re__Feature_Request__Limiting_Connections.html,nakamotoinstitute_files\posts\post_168_Re__Feature_Request__Limiting_Connections.html,Re  Feature Request  Limiting Connections,1
"Laszlo's build is going to be our first Mac release so please test it!
Re: 0.3 almost ready -- please test the Mac version!
July 4, 2010 at 21:52:28 UTC
BitcoinTalk",0,posts,post,post_169_Re__0.3_almost_ready_--_please_test_the_Mac_version!,169,nakamotoinstitute_files\posts\post_169_Re__0.3_almost_ready_--_please_test_the_Mac_version!.html,nakamotoinstitute_files\posts\post_169_Re__0.3_almost_ready_--_please_test_the_Mac_version!.html,Re  0.3 almost ready -- please test the Mac version!,1
"BTW, I did come to my senses after that brief bout with 1.3, this release is still going to be 0.3 beta not 1.0.I really appreciate the effort, but there are a lot of problems.We don't want to lead with ""anonymous"". Â (I've been meaning to edit the homepage)""The developers expect that this will result in a stable-with-respect-to-energy currency outside the reach of any government."" -- I am definitely not making an such taunt or assertion.It's not stable-with-respect-to-energy. Â There was a discussion on this. Â It's not tied to the cost of energy. Â NLS's estimate based on energy was a good estimated starting point, but market forces will increasingly dominate.Sorry to be a wet blanket. Â Writing a description for this thing for general audiences is bloody hard. Â There's nothing to relate it to.
Re: Slashdot Submission for 1.0
July 5, 2010 at 21:31:14 UTC
BitcoinTalk",0,posts,post,post_170_Re__Slashdot_Submission_for_1.0,170,nakamotoinstitute_files\posts\post_170_Re__Slashdot_Submission_for_1.0.html,nakamotoinstitute_files\posts\post_170_Re__Slashdot_Submission_for_1.0.html,Re  Slashdot Submission for 1.0,1
"Announcing version 0.3 of Bitcoin, the P2P cryptocurrency! Â Bitcoin is a digital currency using cryptography and a distributed network to replace the need for a trusted central server. Â Escape the arbitrary inflation risk of centrally managed currencies! Â Bitcoin's total circulation is limited to 21 million coins. Â The coins are gradually released to the network's nodes based on the CPU power they contribute, so you can get a share of them by contributing your idle CPU time.What's new:- Command line and JSON-RPC control- Includes a daemon version without GUI- Transaction filter tabs- 20% faster hashing- Hashmeter performance display- Mac OS X version (thanks to Laszlo)- German, Dutch and Italian translations (thanks to DataWraith, Xunie and Joozero)Get it athttp://www.bitcoin.orgor read the forum to find out more.
Bitcoin 0.3 released!
July 6, 2010 at 18:32:35 UTC
BitcoinTalk",0,posts,post,post_171_Bitcoin_0.3_released!,171,nakamotoinstitute_files\posts\post_171_Bitcoin_0.3_released!.html,nakamotoinstitute_files\posts\post_171_Bitcoin_0.3_released!.html,Bitcoin 0.3 released!,1
"0.3 releasedhttp://bitcointalk.org/index.php?topic=238.msg2004#msg2004
Re: 0.3 almost ready -- please test the Mac version!
July 6, 2010 at 19:43:18 UTC
BitcoinTalk",0,posts,post,post_172_Re__0.3_almost_ready_--_please_test_the_Mac_version!,172,nakamotoinstitute_files\posts\post_172_Re__0.3_almost_ready_--_please_test_the_Mac_version!.html,nakamotoinstitute_files\posts\post_172_Re__0.3_almost_ready_--_please_test_the_Mac_version!.html,Re  0.3 almost ready -- please test the Mac version!,1
"Everybody needs to connect to the same IRC server and channel so they can find each other.Quote from: Vasiliev on June 25, 2010, 11:50:15 PMYou may want to leave Freenode in as a fallback server -- if his server doesn't work, use Freenode's.It might not be good if we suddenly rushed freenode with a ton of users all at once.The fallback is our own seed system.irc.lfnet.org is pretty old and has impressive uptime. Â I think it's going to be fine.We could take IRC out at some point if we want, but I'd rather ease into it and just test our own seed system as a backup for now, and I really like the complementary redundant attributes of the two different systems.
Re: On IRC bootstrapping
July 7, 2010 at 01:31:07 UTC
BitcoinTalk",0,posts,post,post_173_Re__On_IRC_bootstrapping,173,nakamotoinstitute_files\posts\post_173_Re__On_IRC_bootstrapping.html,nakamotoinstitute_files\posts\post_173_Re__On_IRC_bootstrapping.html,Re  On IRC bootstrapping,1
"Thanks for finding that.Â  We switched from ANSI in 0.2 to UTF-8 in version 0.3, so it must be related to that.Just to confirm, if you log in with the non-latin character username, not having an appdata/Bitcoin directory yet, and run Bitcoin and let it create the database from scratch, does it work or not?
Re: bitcoin 0.3 win64 - broken access to APPDATA if non-latin characters in username
July 8, 2010 at 18:24:19 UTC
BitcoinTalk",0,posts,post,post_174_Re__bitcoin_0.3_win64_-_broken_access_to_APPDATA_if_non-latin_characters_in_username,174,nakamotoinstitute_files\posts\post_174_Re__bitcoin_0.3_win64_-_broken_access_to_APPDATA_if_non-latin_characters_in_username.html,nakamotoinstitute_files\posts\post_174_Re__bitcoin_0.3_win64_-_broken_access_to_APPDATA_if_non-latin_characters_in_username.html,Re  bitcoin 0.3 win64 - broken access to APPDATA if non-latin characters in username,1
"I think I see where the problem is.Â  Coincidentally, I recently coded a replacement for the function in question which should fix it.Â  It's not enabled yet, but in the SVN version it prints a debug message in debug.log showing the new directory value and old value for comparison.
Re: bitcoin 0.3 win64 - broken access to APPDATA if non-latin characters in username
July 9, 2010 at 03:01:35 UTC
BitcoinTalk",0,posts,post,post_176_Re__bitcoin_0.3_win64_-_broken_access_to_APPDATA_if_non-latin_characters_in_username,176,nakamotoinstitute_files\posts\post_176_Re__bitcoin_0.3_win64_-_broken_access_to_APPDATA_if_non-latin_characters_in_username.html,nakamotoinstitute_files\posts\post_176_Re__bitcoin_0.3_win64_-_broken_access_to_APPDATA_if_non-latin_characters_in_username.html,Re  bitcoin 0.3 win64 - broken access to APPDATA if non-latin characters in username,1
"I tested this with a non-lower-ASCII account name on XP and confirmed the bug, then tested that the new GetDefaultDataDir fixed it. Â This change is revision 102 of the SVN.
Re: bitcoin 0.3 win64 - broken access to APPDATA if non-latin characters in username
July 9, 2010 at 15:37:05 UTC
BitcoinTalk",0,posts,post,post_178_Re__bitcoin_0.3_win64_-_broken_access_to_APPDATA_if_non-latin_characters_in_username,178,nakamotoinstitute_files\posts\post_178_Re__bitcoin_0.3_win64_-_broken_access_to_APPDATA_if_non-latin_characters_in_username.html,nakamotoinstitute_files\posts\post_178_Re__bitcoin_0.3_win64_-_broken_access_to_APPDATA_if_non-latin_characters_in_username.html,Re  bitcoin 0.3 win64 - broken access to APPDATA if non-latin characters in username,1
"I'll start thinking about how to do this.At the moment, you can kind of use -connect.Â  You can use -connect to make it connect to local computers on your LAN, like -connect=192.168.0.100.Â  If you start it out blank and don't let it connect to the main network, the difficulty is still at the original low difficulty.Â  If you've port-forwarded though, then outside nodes might still connect inward to you.With -connect it still uses IRC, do you think it shouldn't get on IRC when you're telling it to only connect to specific nodes with -connect?Â  The main scenario for -connect is where you have a server farm, with two connected to the network and the rest connected to the first two.Â  In that case, you wouldn't want the -connect computers on IRC.void ThreadIRCSeed(void* parg){if (mapArgs.count(""-connect""))return;
Re: Security
July 10, 2010 at 12:58:02 UTC
BitcoinTalk",0,posts,post,post_179_Re__Security,179,nakamotoinstitute_files\posts\post_179_Re__Security.html,nakamotoinstitute_files\posts\post_179_Re__Security.html,Re  Security,1
"Quote from: llama on July 01, 2010, 10:21:47 PMHowever, if something happened and the signatures were compromised (perhaps integer factorization is solved, quantum computers?), then even agreeing upon the last valid block would be worthless.True, if it happened suddenly.Â  If it happens gradually, we can still transition to something stronger.Â  When you run the upgraded software for the first time, it would re-sign all your money with the new stronger signature algorithm.Â  (by creating a transaction sending the money to yourself with the stronger sig)
Re: Major Meltdown
July 10, 2010 at 13:36:17 UTC
BitcoinTalk",0,posts,post,post_180_Re__Major_Meltdown,180,nakamotoinstitute_files\posts\post_180_Re__Major_Meltdown.html,nakamotoinstitute_files\posts\post_180_Re__Major_Meltdown.html,Re  Major Meltdown,1
"So that was responsible for keeping blocks from downloading?The link: ""Win32 CPU Cycles vs 'Live Protection' Engines""For BitcoinFX, Live Protection was keeping it from getting CPU for generating coins.Â  You said your friend was getting 1400-1600 khash/s, so it was getting CPU.Â  I guess Live Protection must have been blocking some other part of the program then?
Re: No blocks downloaded... why?
July 14, 2010 at 16:22:03 UTC
BitcoinTalk",0,posts,post,post_181_Re__No_blocks_downloaded..._why_,181,nakamotoinstitute_files\posts\post_181_Re__No_blocks_downloaded..._why_.html,nakamotoinstitute_files\posts\post_181_Re__No_blocks_downloaded..._why_.html,Re  No blocks downloaded... why ,1
"In Windows, you select the process in the task manager, right click, Set Priority.Â  Set it to BelowNormal or Low.Â  That shouldn't make a difference though.If you turn off Generate Coins, does the CPU usage go flat?Â  That would confirm that all the CPU time it's taking is generate, which is idle priority already.It could be it's slow just because you have too many things running at once and you're out of memory.Â  When you switch from one thing to another, it has to page it in from disk.
Re: resource hog
July 14, 2010 at 16:29:39 UTC
BitcoinTalk",0,posts,post,post_182_Re__resource_hog,182,nakamotoinstitute_files\posts\post_182_Re__resource_hog.html,nakamotoinstitute_files\posts\post_182_Re__resource_hog.html,Re  resource hog,1
"Thanks for making that calculator.The difficulty doubled a day or two ago, plus it's just random and you can have surprisingly long dry spells.
Re: stopped prodicing coins
July 14, 2010 at 17:04:02 UTC
BitcoinTalk",0,posts,post,post_183_Re__stopped_prodicing_coins,183,nakamotoinstitute_files\posts\post_183_Re__stopped_prodicing_coins.html,nakamotoinstitute_files\posts\post_183_Re__stopped_prodicing_coins.html,Re  stopped prodicing coins,1
"It doesn't work with wxWidgets 2.8, it needs wxWidgets 2.9.Â  Unfortunately, there isn't a Debian package of wxWidgets 2.9 yet.
Re: Building Bitcoin 0.3
July 14, 2010 at 17:34:50 UTC
BitcoinTalk",0,posts,post,post_184_Re__Building_Bitcoin_0.3,184,nakamotoinstitute_files\posts\post_184_Re__Building_Bitcoin_0.3.html,nakamotoinstitute_files\posts\post_184_Re__Building_Bitcoin_0.3.html,Re  Building Bitcoin 0.3,1
"Laszlo corrected this, but unfortunately it was too late to make it into 0.3.0. Â There will probably be a 0.3.1 soon though.The problem is I used PRIO_MIN, I should have used PRIO_MAX for the lowest priority. Â The OS isn't supposed to let you increase priority, so the PRIO_MIN ought to leave it at priority 0.
Re: bitcoin auto-renice-ing
July 14, 2010 at 17:38:31 UTC
BitcoinTalk",0,posts,post,post_185_Re__bitcoin_auto-renice-ing,185,nakamotoinstitute_files\posts\post_185_Re__bitcoin_auto-renice-ing.html,nakamotoinstitute_files\posts\post_185_Re__bitcoin_auto-renice-ing.html,Re  bitcoin auto-renice-ing,1
"This is the second time I've seen this ""Live Protection"" problem reported.It must be blocking the program's network communication.Â  It sounds like it's allowing connections to be made, hence the 10 connections shown, but not allowing any data to be sent or received on them.We need to understand this problem better.Can someone write some instructions on the wiki explaining how to turn off or add an exclusion to Live Protection or whatever its full proper name is.
Re: Stuck on 513 blocks
July 14, 2010 at 18:02:28 UTC
BitcoinTalk",0,posts,post,post_186_Re__Stuck_on_513_blocks,186,nakamotoinstitute_files\posts\post_186_Re__Stuck_on_513_blocks.html,nakamotoinstitute_files\posts\post_186_Re__Stuck_on_513_blocks.html,Re  Stuck on 513 blocks,1
"What language is your computer set to?Â  Is it set to German, Dutch or Italian?Â  Is it one of those sub-languages like ""nl-??""?It's trying to load a translation and failing.Â  You could delete the locale directory that came with bitcoin so it doesn't try to use it.Can someone test each language on Ubuntu and see if there's a problem with just one of them or maybe all three?
Re: Error on Ubuntu 10.04
July 14, 2010 at 18:25:41 UTC
BitcoinTalk",0,posts,post,post_187_Re__Error_on_Ubuntu_10.04,187,nakamotoinstitute_files\posts\post_187_Re__Error_on_Ubuntu_10.04.html,nakamotoinstitute_files\posts\post_187_Re__Error_on_Ubuntu_10.04.html,Re  Error on Ubuntu 10.04,1
"Microsoft Security Essentials Live Protection is blocking your communication with the network.Â  You have connections, which tricks Bitcoin into thinking it's connected, but they are silent because the data is being blocked.You need to make bitcoin.exe an excluded process in Live Protection.This is becoming a common problem.Â  Someone should write this up in a pegged thread.The message ""Warning: This block was not received by any other nodes"" occurs when Bitcoin broadcasts a block, but nobody confirms they received it.Â  The warning is there just for this kind of situation, where for some reason you have connections, but they have gone dead and nobody can hear you.Â  Your block will never become valid because nobody received it.
Re: Warning this block was not received by any other nodes
July 14, 2010 at 18:56:29 UTC
BitcoinTalk",0,posts,post,post_189_Re__Warning_this_block_was_not_received_by_any_other_nodes,189,nakamotoinstitute_files\posts\post_189_Re__Warning_this_block_was_not_received_by_any_other_nodes.html,nakamotoinstitute_files\posts\post_189_Re__Warning_this_block_was_not_received_by_any_other_nodes.html,Re  Warning this block was not received by any other nodes,1
"Quote from: knightmb on July 14, 2010, 07:17:43 PMSo if your computer was only 1% towards solving block 68000This is a common point of confusion.Â  There's no such thing as being 1% towards solving a block.Â  You don't make progress towards solving it.Â  After working on it for 24 hours, your chances of solving it are equal to what your chances were at the start or at any moment.It's like trying to flip 37 coins at once and have them all come up heads.Â  Each time you try, your chances of success are the same.The RNG is the OpenSSL secure random number generator.Â  On Windows it's seeded with the complete set of all hardware performance counters since your computer started, on Linux it's dev/random.
Re: Hash/sec Throttling for Democracy
July 14, 2010 at 20:25:06 UTC
BitcoinTalk",0,posts,post,post_190_Re__Hash_sec_Throttling_for_Democracy,190,nakamotoinstitute_files\posts\post_190_Re__Hash_sec_Throttling_for_Democracy.html,nakamotoinstitute_files\posts\post_190_Re__Hash_sec_Throttling_for_Democracy.html,Re  Hash sec Throttling for Democracy,1
"The design outlines a lightweight client that does not need the full block chain.Â  In the design PDF it's called Simplified Payment Verification.Â  The lightweight client can send and receive transactions, it just can't generate blocks.Â  It does not need to trust a node to verify payments, it can still verify them itself.The lightweight client is not implemented yet, but the plan is to implement it when it's needed.Â  For now, everyone just runs a full network node.I anticipate there will never be more than 100K nodes, probably less.Â  It will reach an equilibrium where it's not worth it for more nodes to join in.Â  The rest will be lightweight clients, which could be millions.At equilibrium size, many nodes will be server farms with one or two network nodes that feed the rest of the farm over a LAN.
Re: Scalability
July 14, 2010 at 21:10:52 UTC
BitcoinTalk",0,posts,post,post_191_Re__Scalability,191,nakamotoinstitute_files\posts\post_191_Re__Scalability.html,nakamotoinstitute_files\posts\post_191_Re__Scalability.html,Re  Scalability,1
"OK, the undocumented switch ""-minimizetotray"" which re-enables the option.I uploaded the change to SVN.
Re: Runaway CPU usage for 64bit BitCoin (Linux Client)
July 15, 2010 at 24:18:23 UTC
BitcoinTalk",0,posts,post,post_192_Re__Runaway_CPU_usage_for_64bit_BitCoin_(Linux_Client),192,nakamotoinstitute_files\posts\post_192_Re__Runaway_CPU_usage_for_64bit_BitCoin_(Linux_Client).html,nakamotoinstitute_files\posts\post_192_Re__Runaway_CPU_usage_for_64bit_BitCoin_(Linux_Client).html,Re  Runaway CPU usage for 64bit BitCoin (Linux Client),1
"More directly, this:http://bitcointalk.org/index.php?topic=246.0I will be posting release candidate of 0.3.1 with this fix shortly.Â  Please try that and let me know if it fixes the problem.
Re: [Bitcoin 0.3.0] Runtime error
July 15, 2010 at 14:05:20 UTC
BitcoinTalk",0,posts,post,post_193_Re__[Bitcoin_0.3.0]_Runtime_error,193,nakamotoinstitute_files\posts\post_193_Re__[Bitcoin_0.3.0]_Runtime_error.html,nakamotoinstitute_files\posts\post_193_Re__[Bitcoin_0.3.0]_Runtime_error.html,Re  [Bitcoin 0.3.0] Runtime error,1
"We don't even specify linking glibcxx_3.4.11, so gcc must automatically link it behind the scenes.Â  There's probably a compiler switch that would tell it to static link it.Â  I'm not sure what the licensing issues would be.Â  Typically, compiler stuff is fully redistributable.
Re: Static Linux x86_64 bins for those having libcrypto troubles
July 15, 2010 at 14:33:04 UTC
BitcoinTalk",0,posts,post,post_194_Re__Static_Linux_x86_64_bins_for_those_having_libcrypto_troubles,194,nakamotoinstitute_files\posts\post_194_Re__Static_Linux_x86_64_bins_for_those_having_libcrypto_troubles.html,nakamotoinstitute_files\posts\post_194_Re__Static_Linux_x86_64_bins_for_those_having_libcrypto_troubles.html,Re  Static Linux x86 64 bins for those having libcrypto troubles,1
"Then all the CPU time is the generate thread, which definitely runs at the lowest possible priority, idle priority.Â  It's normal that your CPU meter is 100%.Â  Since it's idle priority, it won't actually slow anything else down, even though the CPU meter is 100%.
Re: resource hog
July 15, 2010 at 14:59:00 UTC
BitcoinTalk",0,posts,post,post_195_Re__resource_hog,195,nakamotoinstitute_files\posts\post_195_Re__resource_hog.html,nakamotoinstitute_files\posts\post_195_Re__resource_hog.html,Re  resource hog,1
"This is a bugfix maintenance release. Â It is now uploaded to SourceForge. Â Mac OS X didn't need any fixes so we don't really need to update it, 0.3.0 is still good.The download links are on bitcoin.orgChanges:- Added Portuguese translation by Tiago FariaWindows- Fix for 22DbRunRecoveryException if your username has non-ascii characters in itLinux- Laszlo's fix for lowering generate thread to lowest priority- Fix for if you're having trouble with libcrypto linkage- Gavin Andresen's implementation of ""start on windowing system startup"" option
Bitcoin 0.3.1 released
July 15, 2010 at 17:05:54 UTC
BitcoinTalk",0,posts,post,post_196_Bitcoin_0.3.1_released,196,nakamotoinstitute_files\posts\post_196_Bitcoin_0.3.1_released.html,nakamotoinstitute_files\posts\post_196_Bitcoin_0.3.1_released.html,Bitcoin 0.3.1 released,1
"Well, it can't hurt to do a backup and it's a good idea to backup regularly, but no, a backup is not required before installing this.
Re: 0.3.1 release candidate, please test
July 15, 2010 at 17:23:48 UTC
BitcoinTalk",0,posts,post,"post_197_Re__0.3.1_release_candidate,_please_test",197,"nakamotoinstitute_files\posts\post_197_Re__0.3.1_release_candidate,_please_test.html","nakamotoinstitute_files\posts\post_197_Re__0.3.1_release_candidate,_please_test.html","Re  0.3.1 release candidate, please test",1
"I don't think you have a particular problem, I think your system is laggy because you're running a lot of things at once and hitting the pagefile because memory is full. Â You confirmed when you shut off generation that your CPU drops to 0%, so the CPU usage is definitely all idle priority. Â There's nothing in the 0.3.1 that would affect these things.
Re: 0.3.1 release candidate, please test
July 15, 2010 at 17:56:43 UTC
BitcoinTalk",0,posts,post,"post_198_Re__0.3.1_release_candidate,_please_test",198,"nakamotoinstitute_files\posts\post_198_Re__0.3.1_release_candidate,_please_test.html","nakamotoinstitute_files\posts\post_198_Re__0.3.1_release_candidate,_please_test.html","Re  0.3.1 release candidate, please test",1
"I uploaded an updated bitcoin.po for 0.3.1 attached to this message:http://bitcointalk.org/index.php?topic=151.msg1259#msg1259please use it if you're starting a new translation.If you already have a po file, poedit can update it.- Get the src directory from the 0.3.1 release candidate posted in the development forum, any version will do:http://bitcointalk.org/index.php?topic=383.0- Make a subdirectory under src: locale/??/LC_MESSAGES(?? could be anything really, ""en"" or your language 2-letter code)- Put your .po file there- Open it with poedit- In poedit, Catalog->Update from sourcesThe key is that the src directory with the sourcefiles needs to be 3 directories up from the .po file.
Re: Website and software translations
July 15, 2010 at 18:37:13 UTC
BitcoinTalk",0,posts,post,post_200_Re__Website_and_software_translations,200,nakamotoinstitute_files\posts\post_200_Re__Website_and_software_translations.html,nakamotoinstitute_files\posts\post_200_Re__Website_and_software_translations.html,Re  Website and software translations,1
"Quote from: SmokeTooMuch on July 13, 2010, 06:55:55 PMI recommend to remove the download links at the bottom of the main page.As you can see the links on the English page points to the new 0.3 release, but the other languages only contain links for the old 0.2 version.There's a download box with the current releases on the right anyway, so why not remove the links from the translated pages.I updated them to 0.3.0.I am tempted to remove the download links from the other languages and only keep it on English.They will need to be updated for 0.3.1 soon.Â  Perhaps there's a way for someone to manage the updating of the translated drupal pages.
Re: Website and software translations
July 15, 2010 at 18:43:54 UTC
BitcoinTalk",0,posts,post,post_201_Re__Website_and_software_translations,201,nakamotoinstitute_files\posts\post_201_Re__Website_and_software_translations.html,nakamotoinstitute_files\posts\post_201_Re__Website_and_software_translations.html,Re  Website and software translations,1
"Thanks for the Spanish and French translations!Â  The edited and updated .po files are attached.I uploaded these to the SVN.
Re: Website and software translations
July 15, 2010 at 19:12:14 UTC
BitcoinTalk",0,posts,post,post_202_Re__Website_and_software_translations,202,nakamotoinstitute_files\posts\post_202_Re__Website_and_software_translations.html,nakamotoinstitute_files\posts\post_202_Re__Website_and_software_translations.html,Re  Website and software translations,1
"Quote from: knightmb on July 15, 2010, 07:37:10 PMOn Windows, the priority of the Coin Generation is still net for normal. If you run BitCoin in Generate Coin mode, then load up something to eat up all the CPU (like CPU hog for example:http://www.microtask.ca/cpuhog.html) you'll see that both BitCoin and CPU hog share the CPU 50/50 instead of CPU Hog taking all the CPU and BitCoin running only on idle/low process. The khash/s is also reduced in half, so further evidence that the threads are not running in a lower than normal prioirty.I was not able to reproduce this.Â  I have dual-proc, so I ran two memory hogs.Â  Bitcoin got 0% of CPU according to the task manager.Â  The khash/sec meter stayed stuck because it couldn't get any CPU to update it.Do you have dual-proc?Â  Are you sure you weren't running a single processor hog?
Re: 0.3.1 release candidate, please test
July 15, 2010 at 21:40:34 UTC
BitcoinTalk",0,posts,post,"post_203_Re__0.3.1_release_candidate,_please_test",203,"nakamotoinstitute_files\posts\post_203_Re__0.3.1_release_candidate,_please_test.html","nakamotoinstitute_files\posts\post_203_Re__0.3.1_release_candidate,_please_test.html","Re  0.3.1 release candidate, please test",1
"Quote from: knightmb on July 15, 2010, 08:15:46 PMOn the Linux client (64 bit), the ""minimize on close"" will still minimize to tray (causing X server hang after a short while by spawning multiple tray icons).I updated the first post with a link to rc2 for linux with the fix for this.Â  Please check that this is fixed for you.Â  Thanks!http://www.bitcoin.org/download/bitcoin-0.3.1.rc2-linux.tar.gz
Re: 0.3.1 release candidate, please test
July 15, 2010 at 22:07:35 UTC
BitcoinTalk",0,posts,post,"post_204_Re__0.3.1_release_candidate,_please_test",204,"nakamotoinstitute_files\posts\post_204_Re__0.3.1_release_candidate,_please_test.html","nakamotoinstitute_files\posts\post_204_Re__0.3.1_release_candidate,_please_test.html","Re  0.3.1 release candidate, please test",1
"Quote from: db on July 15, 2010, 08:39:08 PMThe listreceivedbyaddress and getreceivedbyaddress commands are duplicated in bincoind help. (Same in 0.3.0.)Yes a bug.Â  It'll have to be fixed in the next version.
Re: 0.3.1 release candidate, please test
July 15, 2010 at 22:10:19 UTC
BitcoinTalk",0,posts,post,"post_205_Re__0.3.1_release_candidate,_please_test",205,"nakamotoinstitute_files\posts\post_205_Re__0.3.1_release_candidate,_please_test.html","nakamotoinstitute_files\posts\post_205_Re__0.3.1_release_candidate,_please_test.html","Re  0.3.1 release candidate, please test",1
"That's surprising that we've never heard of that before now.Maybe you're the first person to ever run it on VistaI have to guess it has something to do with your display color depth selection.Â  e.g. 8-bit, 16-bit, 24-bit, 32-bit, what is it?Â  Do you have a weird video card, display setup or running it on a tablet or mobile or something?
Re: ""SetIcons(): icon bundle doesn't contain any suitable icon""
July 15, 2010 at 22:18:26 UTC
BitcoinTalk",0,posts,post,post_206_Re___SetIcons()__icon_bundle_doesn't_contain_any_suitable_icon_,206,nakamotoinstitute_files\posts\post_206_Re___SetIcons()__icon_bundle_doesn't_contain_any_suitable_icon_.html,nakamotoinstitute_files\posts\post_206_Re___SetIcons()__icon_bundle_doesn't_contain_any_suitable_icon_.html,Re   SetIcons()  icon bundle doesn't contain any suitable icon ,1
"The fix for the thread priority level on linux is available in the 0.3.1 release candidate here:http://bitcointalk.org/index.php?topic=383.msg3198#msg3198
Re: Runaway CPU usage for 64bit BitCoin (Linux Client)
July 15, 2010 at 22:22:30 UTC
BitcoinTalk",0,posts,post,post_207_Re__Runaway_CPU_usage_for_64bit_BitCoin_(Linux_Client),207,nakamotoinstitute_files\posts\post_207_Re__Runaway_CPU_usage_for_64bit_BitCoin_(Linux_Client).html,nakamotoinstitute_files\posts\post_207_Re__Runaway_CPU_usage_for_64bit_BitCoin_(Linux_Client).html,Re  Runaway CPU usage for 64bit BitCoin (Linux Client),1
"Quote from: RHorning on July 15, 2010, 10:29:28 PMI don't see either happening, although it did get put into the ""Startup"" folder. Â That is so Windows 95ish (just kidding..... Microsoft has so screwed this up that it isn't even funny). Â I would recommend the registry settings for a number of reasons including the fact that most software puts the startup in that location, even though I personally find the startup folder to be more attractive and how most software on Windowsshould behave.It could go either way.Â  The Startup folder has the advantage that the end user can see it and manually remove it with the regular UI (not regedit) if they already blew away the Bitcoin directory and its uninstaller.Â  Bitcoin will not relentlessly keep re-adding it if you delete it manually.OpenOffice is another example of something that puts its link in the Startup folder.
Re: 0.3.1 release candidate, please test
July 15, 2010 at 23:23:04 UTC
BitcoinTalk",0,posts,post,"post_208_Re__0.3.1_release_candidate,_please_test",208,"nakamotoinstitute_files\posts\post_208_Re__0.3.1_release_candidate,_please_test.html","nakamotoinstitute_files\posts\post_208_Re__0.3.1_release_candidate,_please_test.html","Re  0.3.1 release candidate, please test",1
