content,chunk_index,collection,content_type,filename,sequence_number,source,source_file,title,total_chunks,useless_to_recall,questions
"Quote from: knightmb on July 15, 2010, 08:15:46 PMOn the Linux client (64 bit), the ""minimize on close"" will still minimize to tray (causing X server hang after a short while by spawning multiple tray icons).I updated the first post with a link to rc2 for linux with the fix for this.Â  Please check that this is fixed for you.Â  Thanks!http://www.bitcoin.org/download/bitcoin-0.3.1.rc2-linux.tar.gz
Re: 0.3.1 release candidate, please test
July 15, 2010 at 22:07:35 UTC
BitcoinTalk",0,posts,post,"post_204_Re__0.3.1_release_candidate,_please_test",204,"nakamotoinstitute_files\posts\post_204_Re__0.3.1_release_candidate,_please_test.html","nakamotoinstitute_files\posts\post_204_Re__0.3.1_release_candidate,_please_test.html","Re  0.3.1 release candidate, please test",1,False,"[""What is the effect of setting 'minimize on close' to true in the Linux client, and how does it relate to the X server hang issue?"", ""Did Satoshi Nakamoto mention any specific details about the impact of minimized tray icons on Bitcoin's performance?"", ""Can you explain what 'rc2' refers to in the context of the 0.3.1 release candidate for the Linux client?"", 'Is there a fix for the X server hang issue caused by spawning multiple tray icons on Linux, and where can it be found?', 'Why did Satoshi Nakamoto update the first post with a link to rc2 for Linux?']"
"Quote from: db on July 15, 2010, 08:39:08 PMThe listreceivedbyaddress and getreceivedbyaddress commands are duplicated in bincoind help. (Same in 0.3.0.)Yes a bug.Â  It'll have to be fixed in the next version.
Re: 0.3.1 release candidate, please test
July 15, 2010 at 22:10:19 UTC
BitcoinTalk",0,posts,post,"post_205_Re__0.3.1_release_candidate,_please_test",205,"nakamotoinstitute_files\posts\post_205_Re__0.3.1_release_candidate,_please_test.html","nakamotoinstitute_files\posts\post_205_Re__0.3.1_release_candidate,_please_test.html","Re  0.3.1 release candidate, please test",1,False,"[""What did Satoshi Nakamoto consider a bug and its location in Bitcoin's version history?"", 'What specific feature or aspect of Bitcoin was duplicated in the bincoind help menu before it could be fixed?', 'Was the duplicated functionality related to transactions with addresses?', 'Did Satoshi mention any plans for fixing this duplicate command in future versions of Bitcoin?', 'In which release cycle (0.3.1 or 0.3.2) was the bug initially identified and flagged by Satoshi?']"
"That's surprising that we've never heard of that before now.Maybe you're the first person to ever run it on VistaI have to guess it has something to do with your display color depth selection.Â  e.g. 8-bit, 16-bit, 24-bit, 32-bit, what is it?Â  Do you have a weird video card, display setup or running it on a tablet or mobile or something?
Re: ""SetIcons(): icon bundle doesn't contain any suitable icon""
July 15, 2010 at 22:18:26 UTC
BitcoinTalk",0,posts,post,post_206_Re___SetIcons()__icon_bundle_doesn't_contain_any_suitable_icon_,206,nakamotoinstitute_files\posts\post_206_Re___SetIcons()__icon_bundle_doesn't_contain_any_suitable_icon_.html,nakamotoinstitute_files\posts\post_206_Re___SetIcons()__icon_bundle_doesn't_contain_any_suitable_icon_.html,Re   SetIcons()  icon bundle doesn't contain any suitable icon ,1,False,"[""What is Satoshi Nakamoto's view on display color depth selection in the context of Bitcoin's development?"", 'Did Satoshi mention the importance of using a suitable video card for running Bitcoin software?', 'Can you explain how displaying bit-depth affects the performance of Bitcoin-related applications?']"
"The fix for the thread priority level on linux is available in the 0.3.1 release candidate here:http://bitcointalk.org/index.php?topic=383.msg3198#msg3198
Re: Runaway CPU usage for 64bit BitCoin (Linux Client)
July 15, 2010 at 22:22:30 UTC
BitcoinTalk",0,posts,post,post_207_Re__Runaway_CPU_usage_for_64bit_BitCoin_(Linux_Client),207,nakamotoinstitute_files\posts\post_207_Re__Runaway_CPU_usage_for_64bit_BitCoin_(Linux_Client).html,nakamotoinstitute_files\posts\post_207_Re__Runaway_CPU_usage_for_64bit_BitCoin_(Linux_Client).html,Re  Runaway CPU usage for 64bit BitCoin (Linux Client),1,False,"['How did 0.3.1 address the issue with thread priority level on Linux?', ""What is Bitcoin's approach to handling CPU usage, specifically for 64bit binaries?"", 'Did Satoshi recommend a particular version of Linux for running the Bitcoin client?']"
"Quote from: RHorning on July 15, 2010, 10:29:28 PMI don't see either happening, although it did get put into the ""Startup"" folder. Â That is so Windows 95ish (just kidding..... Microsoft has so screwed this up that it isn't even funny). Â I would recommend the registry settings for a number of reasons including the fact that most software puts the startup in that location, even though I personally find the startup folder to be more attractive and how most software on Windowsshould behave.It could go either way.Â  The Startup folder has the advantage that the end user can see it and manually remove it with the regular UI (not regedit) if they already blew away the Bitcoin directory and its uninstaller.Â  Bitcoin will not relentlessly keep re-adding it if you delete it manually.OpenOffice is another example of something that puts its link in the Startup folder.
Re: 0.3.1 release candidate, please test
July 15, 2010 at 23:23:04 UTC
BitcoinTalk",0,posts,post,"post_208_Re__0.3.1_release_candidate,_please_test",208,"nakamotoinstitute_files\posts\post_208_Re__0.3.1_release_candidate,_please_test.html","nakamotoinstitute_files\posts\post_208_Re__0.3.1_release_candidate,_please_test.html","Re  0.3.1 release candidate, please test",1,False,"[""What is Satoshi Nakamoto's opinion on the use of registry settings for software startup folders?"", 'Did Satoshi prefer a specific location for the Bitcoin startup folder?', ""At what point in Bitcoin's development did Satoshi compare Microsoft's actions to 1995-ish behavior?"", 'Was OpenOffice an example that Satoshi used to illustrate their point about the Startup folder?', 'On July 15, 2010, when discussing the 0.3.1 release candidate, should users be able to manually remove Bitcoin from the startup folder using the regular UI?', 'Did the user in the conversation with RHorning already break away the Bitcoin directory and its uninstaller?', 'What was the name of the person who had the conversation with Satoshi about the 0.3.1 release candidate on July 15, 2010?']"
"Quote from: bdonlan on July 15, 2010, 11:27:14 PMin 120DPI mode.What is ""120DPI mode""?Â  Is that an actual setting somewhere?Â  Sounds like an obscure enough candidate.Â  I suppose it needs twice the resolution icon to fill the size of the upper left corner icon.Â  Only one size is provided.
Re: ""SetIcons(): icon bundle doesn't contain any suitable icon""
July 15, 2010 at 23:41:23 UTC
BitcoinTalk",0,posts,post,post_209_Re___SetIcons()__icon_bundle_doesn't_contain_any_suitable_icon_,209,nakamotoinstitute_files\posts\post_209_Re___SetIcons()__icon_bundle_doesn't_contain_any_suitable_icon_.html,nakamotoinstitute_files\posts\post_209_Re___SetIcons()__icon_bundle_doesn't_contain_any_suitable_icon_.html,Re   SetIcons()  icon bundle doesn't contain any suitable icon ,1,False,"['What is the purpose of setting a specific DPI mode for icons in Bitcoin software?', 'Did bdonlan mention a particular reason why he was unable to find suitable icons for the Bitcoin bundle?', 'In what year did Satoshi Nakamoto first post about using icons in Bitcoin.', ""What does '120DPI mode' refer to specifically?"", 'Is there any direct relationship between DPI mode and the development of Bitcoin?', 'Can bitcon software handle different DPI modes?', 'Was bdonlan able to resolve his issue with setting icon bundles?']"
"Run it with the undocumented switch -minimizetotray and the option is available in the options menu.I don't know how to fix it.Â  It's something wrong deep inside wxWidgets or GTK or Gnome.
Re: 0.3.1 release candidate, please test
July 16, 2010 at 24:44:32 UTC
BitcoinTalk",0,posts,post,"post_210_Re__0.3.1_release_candidate,_please_test",210,"nakamotoinstitute_files\posts\post_210_Re__0.3.1_release_candidate,_please_test.html","nakamotoinstitute_files\posts\post_210_Re__0.3.1_release_candidate,_please_test.html","Re  0.3.1 release candidate, please test",1,False,"['What does Satoshi Nakamoto say about the compatibility of Bitcoin with GTK and Gnome?', 'How does the undocumented -minimizetotray switch work in wxWidgets?', 'Is the option to minimize to tray available in the options menu after 0.3.1 release candidate?', 'Did Satoshi mention any known issues with wxWidgets or GTK related to the Bitcoin GUI?', 'Can you explain why the release of the 0.3.1 release candidate is being made publicly?']"
"5 BTC seems like a lot these days, maybe the normal amount should be 1 or 2 BTC.This is an important service so new users can at least get something if generating is too hard.
Re: Donations to freebitcoins.appspot.com needed!
July 16, 2010 at 02:02:07 UTC
BitcoinTalk",0,posts,post,post_211_Re__Donations_to_freebitcoins.appspot.com_needed!,211,nakamotoinstitute_files\posts\post_211_Re__Donations_to_freebitcoins.appspot.com_needed!.html,nakamotoinstitute_files\posts\post_211_Re__Donations_to_freebitcoins.appspot.com_needed!.html,Re  Donations to freebitcoins.appspot.com needed!,1,False,"['Did Satoshi Nakamoto consider peer-to-peer networks an essential component of Bitcoin?', 'Is it true that the creator of Bitcoin aims to provide a minimum amount of funds to new users?', ""On what scale should Bitcoin's initial reward be set?""]"
"That must be it then.It must be looking for a larger icon like 20x20 but we don't have one.
Re: ""SetIcons(): icon bundle doesn't contain any suitable icon""
July 16, 2010 at 02:43:29 UTC
BitcoinTalk",0,posts,post,post_212_Re___SetIcons()__icon_bundle_doesn't_contain_any_suitable_icon_,212,nakamotoinstitute_files\posts\post_212_Re___SetIcons()__icon_bundle_doesn't_contain_any_suitable_icon_.html,nakamotoinstitute_files\posts\post_212_Re___SetIcons()__icon_bundle_doesn't_contain_any_suitable_icon_.html,Re   SetIcons()  icon bundle doesn't contain any suitable icon ,1,False,"[""What was the expected size of the icon to accompany a 20x20 pixel image in Bitcoin's graphical user interface?"", 'When did Satoshi Nakamoto express dissatisfaction with an existing icon bundle for Bitcoin?', ""Did Satoshi Nakamoto believe that having a larger icon like 20x20 would improve Bitcoin's public perception?""]"
"The proof-of-work difficulty is currently 45.38.Â  (seehttp://www.alloscomp.com/bitcoin/calculator.php)It's about to increase again in a few hours.Â  It's only been 3-4 days since the last increase, so I expect it will increase by the max of 4 times, or very nearly the max.Â  That would put it at 181.54.The target time between adjustments is 14 days, 14/3.5 days = 4.0 times increase.
Re: Proof-of-work difficulty increasing
July 16, 2010 at 14:46:12 UTC
BitcoinTalk",0,posts,post,post_213_Re__Proof-of-work_difficulty_increasing,213,nakamotoinstitute_files\posts\post_213_Re__Proof-of-work_difficulty_increasing.html,nakamotoinstitute_files\posts\post_213_Re__Proof-of-work_difficulty_increasing.html,Re  Proof-of-work difficulty increasing,1,False,"['What did Satoshi Nakamoto estimate regarding the proof-of-work difficulty increase rate?', 'When was the last adjustment to the proof-of-work difficulty, and how often does it occur?', 'How many times can the proof-of-work difficulty be increased before needing another adjustment?']"
"That's the first time I've seen this error.How many blocks do you have? (in the status bar)You should move your blk*.dat files (in ~/.bitcoin) to another directory and let it start over downloading the block chain again.Â  If you don't mind, could you keep the old blk*.dat files for a little while in case I need to look at them?
Re: Assertion Failure - Ubuntu Lucid
July 16, 2010 at 14:52:04 UTC
BitcoinTalk",0,posts,post,post_214_Re__Assertion_Failure_-_Ubuntu_Lucid,214,nakamotoinstitute_files\posts\post_214_Re__Assertion_Failure_-_Ubuntu_Lucid.html,nakamotoinstitute_files\posts\post_214_Re__Assertion_Failure_-_Ubuntu_Lucid.html,Re  Assertion Failure - Ubuntu Lucid,1,False,"['What issue prompted Satoshi Nakamoto to recommend re-downloading the block chain?', 'How many blocks did the sender have when they experienced the error?', 'In which Ubuntu version did this error occur?']"
"Please try the 0.3.1 release candidate, it should at least resolve the libcrypto dependency:http://bitcointalk.org/index.php?topic=383.0Let me know if that works.
Re: Fedora 13 libcrypto
July 16, 2010 at 14:55:23 UTC
BitcoinTalk",0,posts,post,post_215_Re__Fedora_13_libcrypto,215,nakamotoinstitute_files\posts\post_215_Re__Fedora_13_libcrypto.html,nakamotoinstitute_files\posts\post_215_Re__Fedora_13_libcrypto.html,Re  Fedora 13 libcrypto,1,False,"[""What was Satoshi's view on peer-to-peer networks?"", 'Did the libcrypto dependency issue get resolved with the 0.3.1 release candidate?', ""Was July 16, 2010, a notable date in Bitcoin's development process related to this document?"", 'Did users like fedora13 mention any issues with libcrypto on BitcoinTalk before or after July 16th?']"
"Bitcoin automatically rebroadcasts your transactions if it receives new blocks that don't contain them.Â  It may take about an hour to get rebroadcasted.Â  It is relentless though.Â  It will keep nagging the network forever until your transaction gets into a block.
Re: Resending transaction
July 16, 2010 at 15:01:33 UTC
BitcoinTalk",0,posts,post,post_216_Re__Resending_transaction,216,nakamotoinstitute_files\posts\post_216_Re__Resending_transaction.html,nakamotoinstitute_files\posts\post_216_Re__Resending_transaction.html,Re  Resending transaction,1,False,"[""What does it mean for a Bitcoin transaction to be 'rebroadcasted'?"", ""Why is the Bitcoin network's relentless approach towards rebroadcasting transactions tied to its development purpose?"", 'After how long typically does a Bitcoin transaction take to get rebroadcasted?', '],']"
"Because of all the dependencies that different systems don't have.Â  It's easier to just static link what we can.Â  It doesn't increase the size by very much.
Re: 0.3.1 release candidate, please test
July 16, 2010 at 15:09:59 UTC
BitcoinTalk",0,posts,post,"post_217_Re__0.3.1_release_candidate,_please_test",217,"nakamotoinstitute_files\posts\post_217_Re__0.3.1_release_candidate,_please_test.html","nakamotoinstitute_files\posts\post_217_Re__0.3.1_release_candidate,_please_test.html","Re  0.3.1 release candidate, please test",1,False,"[""What is Satoshi Nakamoto's approach to dealing with dependencies in Bitcoin development?"", 'Does static linking increase the size ofBitcoin significantly?', ""When did Bitcoin's development begin using static linking for specific systems?""]"
"I like that in libraries for the external API's, but you can probably tell from the code that I'm not a fan of it for interior functions.Â  Big obligatory comment headers for each function space out the code and make you hesitate about creating a small little function where the comment header would be bigger than the function.Â  They're some trouble for maintenance, as changes to the function then require duplicate changes in the comment header.Â  I like to keep code compact so you can see more code on the screen at once.To add them now at this point, what would be written would just be what's obvious from looking at the function.The external API we have, in rpc.cpp, the usage documentation is in the help string.Sorry to be a wet blanket.
Re: Source code documentation
July 16, 2010 at 15:37:00 UTC
BitcoinTalk",0,posts,post,post_218_Re__Source_code_documentation,218,nakamotoinstitute_files\posts\post_218_Re__Source_code_documentation.html,nakamotoinstitute_files\posts\post_218_Re__Source_code_documentation.html,Re  Source code documentation,1,False,"[""What is Satoshi's view on the use of comment headers for interior functions in code?"", 'Did Satoshi Nakamoto mention any issues with maintenance that are caused by adding large comments to function headers?', ""What is the reason behind Satoshi's preference for small and compact code, especially when compared to external API documentation?""]"
"Many businesses are like that. Â For a car salesman, when will the next customer walk in the door?On the OP's question, it's a good feature, but the question is, how would we word it so people don't expect to get something after that specific amount of time? Â ""it said 7 days and I waited more than a week and didn't get anything!"" Â Approx, average, but still they're going to think that way.Â  It can't be a whole sentence, unless we think of somewhere else to put it, but where would that be? Â Suggestions?The difficulty quadrupled a few minutes ago to 181.54. Â It's going to take typically about a week to generate now.
Re: Request: expected bitcoins per day display
July 16, 2010 at 16:47:14 UTC
BitcoinTalk",0,posts,post,post_220_Re__Request__expected_bitcoins_per_day_display,220,nakamotoinstitute_files\posts\post_220_Re__Request__expected_bitcoins_per_day_display.html,nakamotoinstitute_files\posts\post_220_Re__Request__expected_bitcoins_per_day_display.html,Re  Request  expected bitcoins per day display,1,False,"[""What is Satoshi Nakamoto's perspective on the nature of success in businesses like a car salesman?"", ""How would one phrase the query 'I waited more than a week and didn't get anything' in a way that still conveys the same information without expectation of immediate results?"", 'Can you estimate what the average time it takes to generate new bitcoins in relation to an increase in difficulty levels for miners?']"
"It adjusted to 181.54 a few minutes ago.Â  Typical time to get a block is about a week now.The difficulty can adjust down as well as up.The network should be generating close to 6 blocks per hour now.
Re: Proof-of-work difficulty increasing
July 16, 2010 at 16:56:54 UTC
BitcoinTalk",0,posts,post,post_221_Re__Proof-of-work_difficulty_increasing,221,nakamotoinstitute_files\posts\post_221_Re__Proof-of-work_difficulty_increasing.html,nakamotoinstitute_files\posts\post_221_Re__Proof-of-work_difficulty_increasing.html,Re  Proof-of-work difficulty increasing,1,False,"['How typical is it for a block to take a week or longer to appear on the network?', ""Did Satoshi Nakamoto predict or plan for Bitcoin's block time adjustment?""]"
"It's in init.cpp.It's a wxWidgets app, so it doesn't have a main() function. Â It may in a little while, since I'm pretty close to making bitcoind build w/o wxBase. Â (it'll be in init.cpp)Sorry about my choice of the filename ""main.cpp"", another possible name would have been ""core.cpp"". Â It's much too late to change. Â I still prefer main.cpp.We're still in great need of sample code showing the recommended way to use the JSON-RPC functions, like for a basic account system on a typical storefront website. Â Using getreceivedbylabel using the username as the label, changing to a new bitcoin address once the stored one for that account gets used. Â I posted a sample code fragment on the forum somewhere. Â (search on getreceivedbylabel or getnewaddress) Â The sample code could be a plain vanilla bank site where you can deposit and send payments.
Re: Source code documentation
July 16, 2010 at 17:15:47 UTC
BitcoinTalk",0,posts,post,post_222_Re__Source_code_documentation,222,nakamotoinstitute_files\posts\post_222_Re__Source_code_documentation.html,nakamotoinstitute_files\posts\post_222_Re__Source_code_documentation.html,Re  Source code documentation,1,False,"['Can Satoshi Nakamoto be considered a pioneer in developing peer-to-peer networks?', ""Was the choice of filename 'main.cpp' or 'core.cpp' for the Bitcoin source code deliberate?"", 'Is it true that bitcoind will build without wxBase, and if so when will this feature be implemented?', ""Did Satoshi prefer 'main.cpp' over 'core.cpp' because of its syntax, style, or another reason?"", 'Will the JSON-RPC functions be fully documented with examples in the Bitcoin source code?', 'Can you provide a plain vanilla bank site example utilizing getreceivedbylabel and getnewaddress to interact with a typical storefront website?', ""When was the sample code fragment posted on the forum regarding getreceivedbylabel, which might include information about bitcoind's dependency on wxBase?""]"
"Good point.Â  If you're going to have more than 8 LAN nodes connect to one gateway node, then you'd better have the gateway node set up so it can receive incoming connections.Â  Otherwise, while the gateway node has 8 or more connections, it will not try to add any more outbound connections.Â  As the outside nodes you're connected to come and go, it doesn't make new outbound connections to replace them.Â  You'll be fine if you can accept incoming connections, then there will be plenty of others connecting to you.
Re: 0.3.1 release candidate, please test
July 16, 2010 at 17:26:17 UTC
BitcoinTalk",0,posts,post,"post_223_Re__0.3.1_release_candidate,_please_test",223,"nakamotoinstitute_files\posts\post_223_Re__0.3.1_release_candidate,_please_test.html","nakamotoinstitute_files\posts\post_223_Re__0.3.1_release_candidate,_please_test.html","Re  0.3.1 release candidate, please test",1,False,"[""What is Satoshi Nakamoto's view on handling more than 8 LAN nodes connecting to a single gateway node?"", ""Can Satoshi Nakamoto's network protocol handle incoming connections if the gateway node has more than 8 outbound connections?"", 'At what point did Satoshi recommend using an incoming connection acceptance mechanism for a gateway node with many outgoing connections?', ""Is it necessary for a gateway node with more than 8 connections to also accept incoming connections in Bitcoin's LAN network?""]"
"Yes, about 20 hours. Â (120 conf / 6 blocks per hour = 20 hours) Â That's the normal length of time before you can spend it. Â You know long before that that you won one.
Re: Proof-of-work difficulty increasing
July 16, 2010 at 17:29:28 UTC
BitcoinTalk",0,posts,post,post_224_Re__Proof-of-work_difficulty_increasing,224,nakamotoinstitute_files\posts\post_224_Re__Proof-of-work_difficulty_increasing.html,nakamotoinstitute_files\posts\post_224_Re__Proof-of-work_difficulty_increasing.html,Re  Proof-of-work difficulty increasing,1,False,"['How long does it take to mine one Bitcoin block?', ' Did Satoshi specify a particular timeframe for the difficulty increasing?', 'What was the normal length of time before spending newly mined Bitcoins?', 'Is there any specific reason or concern with maintaining this 20-hour delay?']"
"No, not related at all.
Re: bitcoin trademark?
July 16, 2010 at 17:47:05 UTC
BitcoinTalk",0,posts,post,post_225_Re__bitcoin_trademark_,225,nakamotoinstitute_files\posts\post_225_Re__bitcoin_trademark_.html,nakamotoinstitute_files\posts\post_225_Re__bitcoin_trademark_.html,Re  bitcoin trademark ,1,False,"[""What does 'No' imply in Satoshi's response to a related query?"", 'Did the topic of trademark relate to Bitcoin overall or a specific aspect?', 'Was there any mention of peer-to-peer networks or cryptocurrency innovation?', 'When discussing the topic, was it framed as a concern or unrelated query?']"
"Neat chart.Difficulty just increased by 4 times, so now your cost is US$0.02/BTC.
Re: The dollar cost of bitmining energy
July 16, 2010 at 17:58:44 UTC
BitcoinTalk",0,posts,post,post_226_Re__The_dollar_cost_of_bitmining_energy,226,nakamotoinstitute_files\posts\post_226_Re__The_dollar_cost_of_bitmining_energy.html,nakamotoinstitute_files\posts\post_226_Re__The_dollar_cost_of_bitmining_energy.html,Re  The dollar cost of bitmining energy,1,False,"['In what year was the difficulty adjustment for Bitcoin updated to increase by 4 times?', 'What is the calculation method used to adjust the difficulty of Bitcoin, and how does it relate to the cost of mining energy?', 'Did Satoshi Nakamoto mention any specific costs or energy consumption for his mining operations before this change?']"
"I've been trying to encourage someone to write and release some sample Python code showing the recommended way to do the typical accounting stuff, but to no avail. Â It would be nice if you didn't have to re-invent the wheel like you're doing here. Â Search on getnewaddress and you should find a thread where I gave a small fragment of sample pseudocode.
Re: Website integration for bitcoin
July 16, 2010 at 18:23:04 UTC
BitcoinTalk",0,posts,post,post_227_Re__Website_integration_for_bitcoin,227,nakamotoinstitute_files\posts\post_227_Re__Website_integration_for_bitcoin.html,nakamotoinstitute_files\posts\post_227_Re__Website_integration_for_bitcoin.html,Re  Website integration for bitcoin,1,False,"[""What is Satoshi Nakamoto's recommended way to do typical accounting stuff for Bitcoin?"", 'How did the author feel about having to re-invent the wheel without existing sample code?', 'In what year did Satoshi mention a thread on getnewaddress that contains pseudocode?']"
"Right, the difficulty adjustment is trying to keep it so the network as a whole generates an average of 6 blocks per hour.Â  The time for your block to mature will always be around 20 hours.The recent adjustment put us back to close to 6 blocks per hour again.There's a site where you can see the time between blocks, and since block 68545, it's been more like 10 minutes per block:http://nullvoid.org/bitcoin/statistix.php
Re: Proof-of-work difficulty increasing
July 16, 2010 at 18:43:51 UTC
BitcoinTalk",0,posts,post,post_228_Re__Proof-of-work_difficulty_increasing,228,nakamotoinstitute_files\posts\post_228_Re__Proof-of-work_difficulty_increasing.html,nakamotoinstitute_files\posts\post_228_Re__Proof-of-work_difficulty_increasing.html,Re  Proof-of-work difficulty increasing,1,False,"[""How does Bitcoin's difficulty adjustment aim to regulate block production per hour?"", ""What was the initial target for Bitcoin's average blocks produced per hour?"", 'Did the recent difficulty adjustment move away from the original 10 minutes per block goal?']"
"I uploaded windows 0.3.1 rc1 and linux 0.3.1 rc2 to SourceForge and updated the links on the homepage.You don't need to update to 0.3.1 unless you had one of the problems listed in the first post.Â  If you've got it working already, stay with 0.3.0.
Re: Bitcoin 0.3.1 released
July 16, 2010 at 21:06:57 UTC
BitcoinTalk",0,posts,post,post_230_Re__Bitcoin_0.3.1_released,230,nakamotoinstitute_files\posts\post_230_Re__Bitcoin_0.3.1_released.html,nakamotoinstitute_files\posts\post_230_Re__Bitcoin_0.3.1_released.html,Re  Bitcoin 0.3.1 released,1,False,"['What specific problems was Satoshi Nakamoto referencing when updating the Windows and Linux links?', 'Did Satoshi think that users should update to Bitcoin 0.3.1 if they were experiencing issues with 0.3.0?', ""How would staying on Bitcoin's previous version affect a user's experience?"", 'Was there a specific reason why Satoshi wanted people who already had the updated versions working not to update?']"
"Quote from: hugolp on May 08, 2010, 10:38:51 AMWhen I run bitcoin it becomes very sluggish, almost unusable. When I stop bitcoin everything goes ok again. Its running Ubuntu desktop 10.04 amd64 using ia32libs and the binary in bitcoin 0.20 tarball.0.3.1 fixes that, sets the generate threads to the lowest priority. Â Download links are on the homepage now.
Re: A New Currency System for the World
July 16, 2010 at 22:20:09 UTC
BitcoinTalk",0,posts,post,post_231_Re__A_New_Currency_System_for_the_World,231,nakamotoinstitute_files\posts\post_231_Re__A_New_Currency_System_for_the_World.html,nakamotoinstitute_files\posts\post_231_Re__A_New_Currency_System_for_the_World.html,Re  A New Currency System for the World,1,False,"[""What was Satoshi Nakamoto's response to Bitcoin becoming sluggish on Ubuntu desktop 10.04?"", 'Did Satoshi suggest any specific threads for improvement in Bitcoin 0.20 tarball?', 'On what priority did Bitcoin set the generate threads after applying the 0.3.1 fix?', 'Was Ubuntu desktop 10.04 and its configuration involved in the issue with running Bitcoin?', 'Can you confirm if there were other fixes besides setting the generate threads to lowest priority?']"
"It must be a rounding error when getinfo converts to floating point to return the JSON-RPC result.Â  The only place where it uses floating point to represent money is returning a value in JSON-RPC.1.139999999999 is longer than bitcoin can internally represent.internally, it could only be:1.13999999 or1.140000001.139999999999 is much much closer to 1.14000000 than 1.13999999, so it must be 1.14000000.The code is this:(double)GetBalance() / (double)COIN.(I can't think of an easy way to fix it at the moment)
Re: BUG Report: Rounding glitch
July 17, 2010 at 16:06:12 UTC
BitcoinTalk",0,posts,post,post_232_Re__BUG_Report__Rounding_glitch,232,nakamotoinstitute_files\posts\post_232_Re__BUG_Report__Rounding_glitch.html,nakamotoinstitute_files\posts\post_232_Re__BUG_Report__Rounding_glitch.html,Re  BUG Report  Rounding glitch,1,False,"[""What does Bitcoin's getinfo command return as a JSON-RPC result?"", ""How does Satoshi Nakamoto explain the issue with rounding in Bitcoin's getbalance function?"", ""Was Satoshi aware of potential issues with Bitcoin's internal representation of money when designing the protocol?"", 'Can anyone else replicate this subtle behavior internally within other financial data structures?', 'Did Satoshi mention any solutions to address rounding glitches?', 'Is this a well-known problem with Bitcoin', 'Was this concern discussed on any relevant technical forums before its submission to BitcoinTalk?']"
"0.3.2 has some security safeguards to lock in the block chain up to this point and limit the damage a little if someone gets 50%.But if someone has 50%+ of the CPU power and malicious intent, they can prove what it already says in the design document.
Re: Nenolod, the guy that wants to prove Bitcoin doesn't work.
July 17, 2010 at 16:56:06 UTC
BitcoinTalk",0,posts,post,"post_234_Re__Nenolod,_the_guy_that_wants_to_prove_Bitcoin_doesn't_work.",234,"nakamotoinstitute_files\posts\post_234_Re__Nenolod,_the_guy_that_wants_to_prove_Bitcoin_doesn't_work..html","nakamotoinstitute_files\posts\post_234_Re__Nenolod,_the_guy_that_wants_to_prove_Bitcoin_doesn't_work..html","Re  Nenolod, the guy that wants to prove Bitcoin doesn't work.",1,False,"[""What did Satoshi Nakamoto say about the security safeguards in Bitcoin's blockchain?"", ""At what point would someone with 50%+ of the CPU power be able to exploit the design document's weaknesses?"", 'Were there any specific actions that could limit damage if a malicious actor gained control of half of the CPU power?']"
"Download links available now on bitcoin.org.Â  Everyone should upgrade to this version.- Added a simple security safeguard that locks-in the block chain up to this point.- Reduced addr messages to save bandwidth now that there are plenty of nodes to connect to.- Spanish translation by milkiway.- French translation by aidos.The security safeguard makes it so even if someone does have more than 50% of the network's CPU power, they can't try to go back and redo the block chain before yesterday. Â (if you have this update)I'll probably put a checkpoint in each version from now on. Â Once the software has settled what the widely accepted block chain is, there's no point in leaving open the unwanted non-zero possibility of revision months later.
Bitcoin 0.3.2 released
July 17, 2010 at 21:35:51 UTC
BitcoinTalk",0,posts,post,post_235_Bitcoin_0.3.2_released,235,nakamotoinstitute_files\posts\post_235_Bitcoin_0.3.2_released.html,nakamotoinstitute_files\posts\post_235_Bitcoin_0.3.2_released.html,Bitcoin 0.3.2 released,1,False,"['What security measure was added to the Bitcoin blockchain in this version?', 'Why were address messages reduced in size after the update?', 'When did Satoshi Nakamoto release version 0.3.2 of Bitcoin?', 'Was there a checkpoint included by default in earlier Bitcoin versions like this one?', 'How does the security safeguard protect against re-hashing the blockchain?']"
"Quote from: singpolyma on July 17, 2010, 10:19:48 PMMy coins disappeared, but I assume they'll come back when it's up to current?Right, they'll re-appear when it's finished downloading all the blocks.
Re: Assertion Failure - Ubuntu Lucid
July 17, 2010 at 22:37:06 UTC
BitcoinTalk",0,posts,post,post_237_Re__Assertion_Failure_-_Ubuntu_Lucid,237,nakamotoinstitute_files\posts\post_237_Re__Assertion_Failure_-_Ubuntu_Lucid.html,nakamotoinstitute_files\posts\post_237_Re__Assertion_Failure_-_Ubuntu_Lucid.html,Re  Assertion Failure - Ubuntu Lucid,1,False,"[""What does Satoshi Nakamoto mean by 'my coins disappeared'?"", 'How are transaction records re-established in the Bitcoin system according to this quote?', ""Does Satoshi imply that Bitcoin's decentralized nature affects data integrity or availability?""]"
